Model,Input Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
CD8_NaiveLike_df_LNmodel,CD8_Tex_df,95.348837%,26.190476%,61.176471%,"(85, 239)"
CD8_NaiveLike_df_LNmodel,CD8_NaiveLike_df,80.917300%,92.972323%,86.906612%,"(8363, 239)"
CD8_NaiveLike_df_LNmodel,Treg_df,96.832579%,54.545455%,75.736961%,"(441, 239)"
CD8_NaiveLike_df_LNmodel,CD8_Tpex_df,94.444444%,29.411765%,62.857143%,"(35, 239)"
CD8_NaiveLike_df_LNmodel,Th1_df,71.320755%,76.893939%,74.102079%,"(529, 239)"
CD8_NaiveLike_df_LNmodel,CD8_EffectorMemory_df,82.222222%,61.832061%,72.180451%,"(266, 239)"
CD8_NaiveLike_df_LNmodel,CD8_EarlyActiv_df,69.811321%,65.238095%,67.535545%,"(422, 239)"
CD8_NaiveLike_df_LNmodel,CD4_NaiveLike_df,39.516129%,86.776860%,62.857143%,"(490, 239)"
CD8_NaiveLike_df_LNmodel,Tfh_df,72.727273%,57.142857%,65.116279%,"(43, 239)"
CD8_NaiveLike_df_LNmodel,all_LNs_df,79.880329%,89.517820%,84.653138%,"(10595, 239)"
CD8_EffectorMemory_df_LNmodel,CD8_Tex_df,95.348837%,30.952381%,63.529412%,"(85, 239)"
CD8_EffectorMemory_df_LNmodel,CD8_NaiveLike_df,57.865970%,84.741276%,71.218462%,"(8363, 239)"
CD8_EffectorMemory_df_LNmodel,Treg_df,96.832579%,53.636364%,75.283447%,"(441, 239)"
CD8_EffectorMemory_df_LNmodel,CD8_Tpex_df,94.444444%,47.058824%,71.428571%,"(35, 239)"
CD8_EffectorMemory_df_LNmodel,Th1_df,62.264151%,87.500000%,74.858223%,"(529, 239)"
CD8_EffectorMemory_df_LNmodel,CD8_EffectorMemory_df,91.851852%,96.946565%,94.360902%,"(266, 239)"
CD8_EffectorMemory_df_LNmodel,CD8_EarlyActiv_df,59.905660%,78.571429%,69.194313%,"(422, 239)"
CD8_EffectorMemory_df_LNmodel,CD4_NaiveLike_df,37.903226%,89.256198%,63.265306%,"(490, 239)"
CD8_EffectorMemory_df_LNmodel,Tfh_df,72.727273%,57.142857%,65.116279%,"(43, 239)"
CD8_EffectorMemory_df_LNmodel,all_LNs_df,64.603590%,84.905660%,74.657857%,"(10595, 239)"
Th1_df_LNmodel,CD8_Tex_df,97.674419%,28.571429%,63.529412%,"(85, 239)"
Th1_df_LNmodel,CD8_NaiveLike_df,58.816540%,85.631769%,72.139185%,"(8363, 239)"
Th1_df_LNmodel,Treg_df,96.832579%,54.545455%,75.736961%,"(441, 239)"
Th1_df_LNmodel,CD8_Tpex_df,100.000000%,29.411765%,65.714286%,"(35, 239)"
Th1_df_LNmodel,Th1_df,83.773585%,96.590909%,90.170132%,"(529, 239)"
Th1_df_LNmodel,CD8_EffectorMemory_df,70.370370%,80.916031%,75.563910%,"(266, 239)"
Th1_df_LNmodel,CD8_EarlyActiv_df,58.490566%,77.142857%,67.772512%,"(422, 239)"
Th1_df_LNmodel,CD4_NaiveLike_df,44.758065%,85.123967%,64.693878%,"(490, 239)"
Th1_df_LNmodel,Tfh_df,72.727273%,57.142857%,65.116279%,"(43, 239)"
Th1_df_LNmodel,all_LNs_df,66.361257%,85.382123%,75.781029%,"(10595, 239)"
CD8_EarlyActiv_df_LNmodel,CD8_Tex_df,95.348837%,26.190476%,61.176471%,"(85, 239)"
CD8_EarlyActiv_df_LNmodel,CD8_NaiveLike_df,63.925856%,82.815884%,73.311013%,"(8363, 239)"
CD8_EarlyActiv_df_LNmodel,Treg_df,95.927602%,54.545455%,75.283447%,"(441, 239)"
CD8_EarlyActiv_df_LNmodel,CD8_Tpex_df,94.444444%,35.294118%,65.714286%,"(35, 239)"
CD8_EarlyActiv_df_LNmodel,Th1_df,65.660377%,78.409091%,72.022684%,"(529, 239)"
CD8_EarlyActiv_df_LNmodel,CD8_EffectorMemory_df,80.000000%,77.862595%,78.947368%,"(266, 239)"
CD8_EarlyActiv_df_LNmodel,CD8_EarlyActiv_df,85.849057%,91.904762%,88.862559%,"(422, 239)"
CD8_EarlyActiv_df_LNmodel,CD4_NaiveLike_df,44.758065%,88.016529%,66.122449%,"(490, 239)"
CD8_EarlyActiv_df_LNmodel,Tfh_df,68.181818%,66.666667%,67.441860%,"(43, 239)"
CD8_EarlyActiv_df_LNmodel,all_LNs_df,69.652206%,82.656756%,76.092496%,"(10595, 239)"
Treg_df_LNmodel,CD8_Tex_df,90.697674%,64.285714%,77.647059%,"(85, 239)"
Treg_df_LNmodel,CD8_NaiveLike_df,12.404943%,99.831528%,55.841205%,"(8363, 239)"
Treg_df_LNmodel,Treg_df,95.927602%,95.909091%,95.918367%,"(441, 239)"
Treg_df_LNmodel,CD8_Tpex_df,66.666667%,94.117647%,80.000000%,"(35, 239)"
Treg_df_LNmodel,Th1_df,17.358491%,98.863636%,58.034026%,"(529, 239)"
Treg_df_LNmodel,CD8_EffectorMemory_df,34.814815%,98.473282%,66.165414%,"(266, 239)"
Treg_df_LNmodel,CD8_EarlyActiv_df,15.566038%,99.047619%,57.109005%,"(422, 239)"
Treg_df_LNmodel,CD4_NaiveLike_df,5.241935%,100.000000%,52.040816%,"(490, 239)"
Treg_df_LNmodel,Tfh_df,31.818182%,95.238095%,62.790698%,"(43, 239)"
Treg_df_LNmodel,all_LNs_df,22.288706%,99.752239%,60.651251%,"(10595, 239)"
