Model,Input TIL Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
Treg_df_LNmodel,Treg_df,80.366226%,90.573770%,85.451761%,"(1959, 239)"
CD8_Tpex_df_LNmodel,Treg_df,71.820956%,93.340164%,82.542113%,"(1959, 239)"
CD8_Tex_df_LNmodel,Treg_df,69.277721%,95.184426%,82.184788%,"(1959, 239)"
Treg_df_LNmodel,CD8_Tpex_df,76.760563%,86.524823%,81.625442%,"(283, 239)"
Th1_df_LNmodel,all_TILs_df,80.606431%,82.627291%,81.616450%,"(9824, 239)"
CD8_EffectorMemory_df_LNmodel,all_TILs_df,81.623932%,80.224033%,80.924267%,"(9824, 239)"
CD8_EarlyActiv_df_LNmodel,all_TILs_df,81.115181%,79.409369%,80.262622%,"(9824, 239)"
CD8_NaiveLike_df_LNmodel,all_TILs_df,85.205535%,73.156823%,79.183632%,"(9824, 239)"
CD8_Tpex_df_LNmodel,CD8_Tpex_df,66.197183%,92.198582%,79.151943%,"(283, 239)"
all_LNLmodel,all_TILs_df,87.179487%,70.570265%,78.878257%,"(9824, 239)"
CD8_Tex_df_LNmodel,CD8_Tex_df,71.593090%,83.622351%,77.596154%,"(1040, 239)"
Treg_df_LNmodel,all_TILs_df,56.654457%,98.065173%,77.351384%,"(9824, 239)"
Tfh_df_LNmodel,Treg_df,84.028484%,70.594262%,77.335375%,"(1959, 239)"
CD8_EffectorMemory_df_LNmodel,Treg_df,94.099695%,60.348361%,77.284329%,"(1959, 239)"
CD8_Tex_df_LNmodel,CD8_Tpex_df,61.971831%,92.198582%,77.031802%,"(283, 239)"
CD8_Tpex_df_LNmodel,CD8_Tex_df,78.886756%,74.566474%,76.730769%,"(1040, 239)"
Tfh_df_LNmodel,CD8_Tpex_df,81.690141%,71.631206%,76.678445%,"(283, 239)"
Th1_df_LNmodel,Treg_df,93.896236%,58.709016%,76.365493%,"(1959, 239)"
