Model,Input LN Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
all_TILmodel,CD8_Tpex_df,88.888889%,94.117647%,91.428571%,"(35, 239)"
CD8_Tpex_df_TILmodel,Treg_df,89.592760%,88.636364%,89.115646%,"(441, 239)"
Treg_df_TILmodel,Treg_df,89.592760%,88.636364%,89.115646%,"(441, 239)"
all_TILmodel,Treg_df,89.140271%,87.272727%,88.208617%,"(441, 239)"
CD8_Tex_df_TILmodel,Treg_df,73.303167%,98.636364%,85.941043%,"(441, 239)"
Treg_df_TILmodel,CD8_Tpex_df,77.777778%,94.117647%,85.714286%,"(35, 239)"
CD8_EffectorMemory_df_TILmodel,Treg_df,95.475113%,74.545455%,85.034014%,"(441, 239)"
CD8_Tex_df_TILmodel,CD8_Tex_df,79.069767%,90.476190%,84.705882%,"(85, 239)"
CD8_Tpex_df_TILmodel,CD8_Tpex_df,72.222222%,94.117647%,82.857143%,"(35, 239)"
CD8_NaiveLike_df_TILmodel,CD8_EffectorMemory_df,90.370370%,63.358779%,77.067669%,"(266, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_EffectorMemory_df,75.555556%,78.625954%,77.067669%,"(266, 239)"
CD8_EarlyActiv_df_TILmodel,all_LN_df,67.501870%,86.411283%,76.866446%,"(10595, 239)"
CD8_EarlyActiv_df_TILmodel,Treg_df,95.927602%,56.818182%,76.417234%,"(441, 239)"
CD8_NaiveLike_df_TILmodel,all_LN_df,78.571429%,72.670097%,75.648891%,"(10595, 239)"
Th1_df_TILmodel,Th1_df,76.226415%,75.000000%,75.614367%,"(529, 239)"
all_TILmodel,CD8_Tex_df,93.023256%,57.142857%,75.294118%,"(85, 239)"
Th1_df_TILmodel,CD8_EffectorMemory_df,82.222222%,67.938931%,75.187970%,"(266, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_EffectorMemory_df,57.037037%,93.129771%,74.812030%,"(266, 239)"
Th1_df_TILmodel,all_LN_df,72.868362%,76.767677%,74.799434%,"(10595, 239)"
CD8_NaiveLike_df_TILmodel,Th1_df,78.113208%,71.212121%,74.669187%,"(529, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_NaiveLike_df,61.977186%,87.388688%,74.602415%,"(8363, 239)"
Tfh_df_TILmodel,CD8_Tpex_df,100.000000%,47.058824%,74.285714%,"(35, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_Tpex_df,94.444444%,52.941176%,74.285714%,"(35, 239)"
CD8_NaiveLike_df_TILmodel,CD8_NaiveLike_df,74.904943%,73.429603%,74.171948%,"(8363, 239)"
CD8_Tpex_df_TILmodel,CD8_Tex_df,90.697674%,57.142857%,74.117647%,"(85, 239)"
Tfh_df_TILmodel,Treg_df,96.832579%,50.000000%,73.469388%,"(441, 239)"
Th1_df_TILmodel,Treg_df,97.285068%,48.181818%,72.789116%,"(441, 239)"
CD8_EffectorMemory_df_TILmodel,all_LN_df,48.391922%,97.122165%,72.524776%,"(10595, 239)"
Th1_df_TILmodel,CD8_NaiveLike_df,66.991445%,77.472924%,72.198972%,"(8363, 239)"
CD8_EarlyActiv_df_TILmodel,Th1_df,64.905660%,78.787879%,71.833648%,"(529, 239)"
CD8_NaiveLike_df_TILmodel,Treg_df,97.285068%,43.181818%,70.294785%,"(441, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_EarlyActiv_df,44.339623%,95.714286%,69.905213%,"(422, 239)"
CD8_NaiveLike_df_TILmodel,Tfh_df,86.363636%,52.380952%,69.767442%,"(43, 239)"
Treg_df_TILmodel,CD8_Tex_df,93.023256%,45.238095%,69.411765%,"(85, 239)"
CD8_EffectorMemory_df_TILmodel,Th1_df,45.660377%,93.181818%,69.376181%,"(529, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_EarlyActiv_df,60.849057%,77.142857%,68.957346%,"(422, 239)"
CD8_Tex_df_TILmodel,CD8_Tpex_df,38.888889%,100.000000%,68.571429%,"(35, 239)"
CD8_Tpex_df_TILmodel,CD8_EffectorMemory_df,38.518519%,99.236641%,68.421053%,"(266, 239)"
all_TILmodel,CD8_EffectorMemory_df,37.777778%,99.236641%,68.045113%,"(266, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_NaiveLike_df,38.688213%,97.496992%,67.906254%,"(8363, 239)"
