,x
1,1.221
2,1.035
3,0.422
4,0.766
5,0.37
6,0.693
7,1.816
8,0.416
9,0.407
10,1.195
11,0.373
12,1.15
13,0.613
14,1.016
15,0.338
16,0.586
17,1.518
18,1.058
19,0.736
20,0.717
21,0.541
22,0.325
23,1.072
24,0.735
25,2.224
26,0.527
27,0.517
28,0.37
29,0.948
30,0.52
31,0.921
32,0.703
33,0.839
34,0.488
35,1.402
36,0.652
37,2.332
38,0.578
39,0.591
40,0.926
41,0.608
42,0.494
43,0.336
44,0.37
45,0.775
46,0.809
47,1.502
48,0.401
49,0.262
50,3.149
51,0.569
52,0.276
53,1.662
54,1.979
55,0.368
56,0.533
57,2.053
58,1.36
59,1.611
60,0.531
61,0.197
62,0.463
63,0.688
64,1.166
65,0.528
66,0.268
67,0.925
68,0.667
69,0.835
70,0.662
71,0.371
72,0.375
73,0.796
74,1.014
75,0.417
76,0.632
77,1.274
78,0.872
79,0.487
80,0.398
81,1.291
82,0.497
83,0.629
84,2.074
85,1.261
86,1.215
87,0.422
88,0.691
89,0.651
90,0.639
91,0.25
92,1.525
93,0.595
94,1.779
95,1.55
96,1.036
97,1.009
98,0.828
99,0.3
100,0.313
101,0.869
102,0.557
103,0.353
104,1.079
105,0.882
106,1.209
107,0.935
108,0.632
109,0.136
110,0.574
111,0.405
112,0.865
113,0.585
114,0.39
115,0.7
116,0.343
117,0.967
118,0.414
119,0.627
120,0.608
121,1.412
122,1.727
123,0.218
124,0.484
125,1.249
126,0.858
127,0.642
128,0.341
129,0.947
130,0.55
131,0.283
132,0.572
133,0.603
134,0.765
135,0.636
136,1.348
137,0.725
138,0.914
139,0.447
140,0.734
141,0.679
142,0.996
143,1.565
144,2.028
145,1.461
146,0.593
147,0.731
148,0.542
149,0.351
150,0.735
151,1.279
152,2.302
153,0.318
154,0.966
155,1.098
156,0.652
157,0.595
158,0.652
159,0.732
160,0.805
161,0.803
162,1.35
163,0.41
164,0.645
165,0.558
166,1.383
167,1.261
168,0.506
169,0.793
170,0.769
171,0.639
172,1.368
173,0.903
174,0.536
175,0.802
176,0.522
177,0.18
178,0.32
179,0.727
180,0.965
181,0.695
182,1.108
183,1.034
184,0.348
185,0.364
186,0.618
187,0.517
188,0.471
189,0.583
190,0.503
191,0.336
192,0.662
193,2.084
194,0.476
195,0.448
196,0.581
197,1.302
198,1.228
199,0.641
200,0.178
201,0.506
202,0.775
203,1.286
204,0.402
205,0.97
206,0.474
207,0.869
208,0.407
209,0.774
210,0.473
211,0.945
212,0.589
213,1.288
214,2.743
215,0.468
216,1.437
217,0.47
218,1.818
219,0.88
220,0.407
221,0.879
222,1.139
223,1.499
224,1.149
225,0.575
226,1.058
227,0.761
228,1.249
229,0.429
230,1.084
231,0.474
232,0.859
233,1.723
234,0.581
235,0.512
236,2.61
237,0.417
238,1.052
239,0.32
240,0.65
241,1.298
242,1.136
243,0.61
244,0.765
245,1.096
246,0.742
247,0.567
248,1.278
249,0.367
250,0.192
251,0.668
252,0.665
253,0.389
254,1.812
255,1.461
256,0.497
257,0.376
258,0.517
259,0.36
260,1.644
261,0.692
262,1.064
263,0.533
264,0.698
265,1.011
266,1.253
267,0.658
268,0.616
269,0.453
270,0.395
271,1.736
272,1.116
273,0.297
274,0.357
275,0.55
276,0.922
277,0.974
278,0.41
279,1.455
280,0.861
281,1.118
282,1.114
283,0.467
284,1.835
285,0.259
286,0.37
287,0.546
288,1.144
289,0.414
290,0.503
291,2.072
292,0.273
293,0.828
294,1.199
295,0.663
296,0.983
297,1.059
298,0.535
299,0.719
300,2.488
301,0.863
302,0.236
303,0.598
304,1.302
305,0.386
306,0.503
307,0.214
308,0.432
309,0.867
310,0.656
311,0.42
312,0.451
313,1.038
314,0.21
315,0.65
316,0.529
317,2.094
318,0.529
319,0.595
320,0.541
321,2.088
322,0.57
323,0.095
324,0.763
325,0.686
326,1.263
327,0.429
328,0.238
329,0.443
330,0.367
331,1.067
332,0.327
333,0.28
334,0.437
335,0.929
336,1.272
337,1.053
338,1.021
339,0.959
340,0.627
341,0.866
342,0.546
343,1.286
344,0.954
345,0.197
346,0.367
347,0.495
348,0.7
349,0.702
350,0.792
351,0.86
352,0.967
353,1.84
354,0.792
355,0.793
356,0.41
357,0.302
358,0.317
359,1.357
360,0.93
361,0.487
362,0.3
363,1.151
364,0.381
365,0.642
366,0.327
367,0.293
368,0.521
369,0.55
370,0.451
371,0.431
372,0.77
373,0.867
374,1.304
375,1.398
376,0.902
377,2.55
378,1.221
379,0.411
380,0.328
381,0.945
382,0.362
383,0.525
384,0.871
385,1.471
386,1.144
387,2.219
388,0.431
389,0.579
390,0.21
391,0.848
392,0.96
393,0.75
394,0.471
395,0.779
396,0.408
397,0.619
398,0.536
399,1.302
400,0.969
401,0.745
402,0.832
403,0.431
404,0.338
405,0.379
406,1.091
407,1.472
408,0.596
409,0.831
410,1.943
411,0.532
412,0.476
413,2.42
414,0.367
415,1.411
416,0.675
417,1.386
418,0.766
419,0.368
420,0.517
421,0.454
422,0.696
423,1.393
424,0.778
425,0.428
426,0.238
427,0.808
428,0.053
429,0.31
430,1.725
431,0.521
432,1.255
433,0.535
434,0.549
435,0.692
436,1.291
437,0.517
438,0.382
439,1.242
440,0.29
441,1.966
442,0.214
443,1.42
444,1.124
445,0.85
446,1.137
447,0.464
448,0.829
449,0.544
450,0.819
451,0.556
452,0.823
453,0.769
454,0.72
455,0.781
456,0.65
457,0.453
458,1.456
459,1.163
460,0.499
461,0.48
462,0.382
463,0.872
464,0.737
465,0.364
466,1.374
467,0.365
468,0.748
469,0.31
470,0.865
471,0.259
472,0.39
473,0.227
474,0.485
475,0.25
476,1.091
477,0.78
478,0.443
479,0.441
480,0.348
481,0.727
482,1.427
483,1.086
484,0.404
485,1.53
486,0.984
487,0.914
488,2.005
489,1.267
490,0.232
491,1.234
492,0.335
493,0.32
494,0.732
495,1.289
496,1.671
497,0.344
498,0.567
499,0.629
500,0.839
501,0.964
502,0.257
503,1.106
504,1.285
505,0.443
506,0.561
507,0.643
508,1.116
509,0.687
510,0.668
511,0.997
512,1.551
513,1.085
514,0.744
515,0.675
516,1.063
517,1.1
518,0.732
519,0.613
520,0.36
521,1.119
522,0.467
523,0.438
524,0.622
525,0.562
526,0.55
527,0.502
528,0.367
529,1.472
530,0.548
531,0.453
532,1.455
533,1.855
534,0.274
535,0.755
536,0.935
537,0.69
538,0.608
539,0.448
540,0.387
541,0.594
542,0.785
543,1.551
544,0.63
545,0.536
546,0.574
547,0.915
548,1.394
549,0.87
550,0.42
551,0.434
552,0.498
553,0.49
554,0.414
555,2.608
556,0.438
557,1.415
558,0.813
559,0.463
560,0.471
561,0.466
562,0.323
563,0.362
564,0.842
565,0.688
566,0.825
567,1.145
568,1.087
569,0.362
570,1.599
571,0.714
572,1.307
573,0.522
574,0.66
575,0.435
576,0.631
577,2.05
578,0.796
579,0.177
580,0.648
581,0.841
582,0.583
583,0.422
584,0.648
585,0.216
586,0.274
587,0.36
588,1.66
589,0.545
590,0.812
591,0.838
592,0.626
593,0.641
594,1.362
595,0.338
596,1.023
597,0.757
598,0.338
599,0.525
600,0.34
601,1.619
602,1.485
603,0.925
604,0.654
605,0.335
606,0.864
607,1.206
608,1.084
609,0.518
610,0.423
611,0.896
612,0.313
613,0.7
614,1.032
615,0.487
616,0.293
617,0.379
618,0.589
619,1.561
620,0.961
621,0.322
622,0.852
623,1.039
624,0.642
625,0.54
626,0.581
627,0.537
628,0.474
629,0.182
630,0.771
631,2.221
632,0.757
633,1.961
634,0.703
635,0.308
636,1.504
637,1.29
638,0.393
639,0.338
640,1.353
641,1.58
642,1.082
643,1.2
644,0.54
645,0.724
646,1.194
647,0.444
648,0.667
649,0.322
650,0.359
651,0.813
652,0.593
653,2.235
654,0.639
655,0.822
656,0.605
657,1.147
658,0.78
659,0.23
660,1.075
661,0.809
662,0.566
663,1.275
664,0.399
665,0.286
666,0.841
667,0.25
668,0.792
669,1.02
670,1.304
671,0.389
672,1.668
673,0.545
674,0.36
675,0.618
676,0.517
677,0.861
678,0.917
679,3.834
680,0.208
681,0.916
682,0.343
683,0.466
684,1.135
685,0.687
686,0.971
687,0.501
688,0.676
689,0.839
690,1.43
691,0.437
692,0.699
693,0.599
694,0.508
695,1.469
696,0.826
697,0.713
698,0.643
699,0.598
700,1.098
701,0.546
702,0.867
703,1.397
704,0.525
705,1.696
706,0.619
707,0.79
708,0.524
709,0.744
710,0.335
711,1.199
712,0.219
713,2.204
714,0.757
715,0.357
716,0.46
717,1.011
718,0.317
719,1.727
720,0.513
721,0.986
722,0.583
723,0.756
724,0.443
725,0.9
726,0.639
727,1.025
728,1.154
729,0.368
730,0.901
731,0.674
732,1.542
733,2.096
734,0.558
735,1.311
736,0.341
737,1.277
738,0.351
739,0.354
740,0.881
741,1.84
742,0.346
743,0.578
744,0.553
745,1.527
746,0.367
747,1.202
748,1.721
749,0.375
750,0.964
751,0.633
752,0.74
753,2.371
754,0.488
755,0.875
756,0.663
757,0.779
758,0.665
759,1.047
760,0.365
761,0.584
762,0.835
763,1.434
764,0.633
765,0.216
766,0.485
767,0.95
768,0.593
769,0.408
770,1.374
771,1.016
772,0.396
773,2.287
774,0.687
775,1.251
776,0.546
777,0.447
778,1.749
779,0.625
780,0.354
781,1.607
782,0.454
783,0.476
784,1.455
785,1.275
786,0.41
787,0.454
788,1.075
789,0.76
790,0.522
791,1.695
792,1.963
793,0.632
794,0.445
795,0.292
796,0.51
797,0.376
798,0.89
799,0.687
800,1.168
801,1.473
802,0.381
803,1.541
804,1.799
805,0.089
806,0.919
807,0.57
808,0.888
809,1.252
810,0.584
811,0.677
812,0.852
813,0.48
814,0.664
815,0.733
816,1.002
817,0.748
818,0.413
819,0.47
820,0.532
821,2.945
822,1.014
823,1.001
824,0.664
825,0.584
826,0.861
827,0.45
828,0.443
829,0.505
830,0.677
831,0.351
832,0.354
833,0.419
834,0.346
835,2.145
836,0.307
837,0.273
838,0.405
839,0.643
840,1.11
841,0.467
842,0.428
843,0.413
844,1.608
845,0.757
846,0.431
847,0.724
848,0.466
849,1.152
850,0.47
851,0.989
852,0.443
853,0.843
854,0.336
855,0.431
856,0.803
857,0.431
858,0.632
859,0.891
860,0.283
861,0.645
862,1.28
863,0.605
864,0.274
865,0.825
866,0.909
867,0.585
868,0.639
869,0.956
870,0.65
871,0.46
872,3.462
873,0.521
874,0.505
875,1.136
876,0.467
877,0.608
878,0.968
879,0.285
880,0.678
881,0.847
882,1.383
883,0.599
884,0.77
885,2.367
886,0.402
887,0.864
888,0.3
889,0.381
890,0.552
891,2.391
892,1.099
893,0.458
894,0.359
895,0.668
896,1.535
897,2.748
898,0.371
899,0.639
900,1.379
901,0.517
902,0.916
903,0.281
904,0.255
905,1.809
906,0.441
907,1.083
908,0.955
909,1.156
910,1.059
911,0.58
912,0.451
913,0.961
914,1.175
915,0.632
916,1.26
917,0.327
918,0.416
919,0.66
920,1.026
921,0.655
922,0.57
923,1.154
924,0.257
925,0.456
926,1.466
927,1.235
928,0.638
929,0.596
930,0.322
931,0.501
932,0.661
933,0.929
934,0.29
935,0.589
936,0.429
937,0.539
938,0.376
939,0.506
940,0.537
941,1.517
942,0.614
943,0.801
944,0.259
945,0.892
946,0.521
947,0.356
948,0.506
949,0.429
950,0.743
951,0.36
952,1.046
953,0.78
954,0.563
955,1.032
956,0.687
957,0.429
958,0.85
959,0.068
960,0.422
961,0.387
962,0.892
963,0.522
964,1.122
965,0.393
966,0.399
967,0.491
968,0.354
969,1.001
970,0.349
971,0.499
972,0.737
973,0.955
974,0.716
975,1.769
976,0.384
977,0.758
978,0.999
979,0.178
980,0.818
981,0.428
982,0.365
983,0.295
984,1.291
985,0.788
986,0.556
987,0.438
988,0.18
989,0.353
990,0.473
991,0.705
992,0.561
993,0.356
994,0.443
995,0.56
996,0.506
997,0.743
998,0.903
999,0.365
1000,0.687
1001,0.184
1002,0.431
1003,0.997
1004,0.65
1005,0.488
1006,0.869
1007,0.351
1008,0.606
1009,0.712
1010,1.041
1011,1.311
1012,0.268
1013,0.771
1014,0.503
1015,0.97
1016,0.382
1017,1.311
1018,1.172
1019,0.487
1020,0.48
1021,0.435
1022,0.913
1023,0.402
1024,0.513
1025,0.195
1026,0.691
1027,1.061
1028,0.87
1029,1.366
1030,0.66
1031,0.685
1032,0.341
1033,0.431
1034,0.292
1035,0.362
1036,0.598
1037,1.003
1038,0.389
1039,0.853
1040,0.667
1041,0.315
1042,0.514
1043,1.391
1044,1.498
1045,0.853
1046,1.103
1047,0.362
1048,0.325
1049,0.512
1050,0.338
1051,0.513
1052,0.36
1053,0.596
1054,1.087
