Model,Input Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
all_TILmodel,all_TILs_df,91.351241%,97.596741%,94.472720%,"(9824, 239)"
Tfh_df_TILmodel,Tfh_df,94.285714%,91.176471%,92.753623%,"(69, 239)"
CD8_Tex_df_TILmodel,CD8_Tex_df,90.211132%,94.990366%,92.596154%,"(1040, 239)"
CD8_Tpex_df_TILmodel,CD8_Tpex_df,88.732394%,96.453901%,92.579505%,"(283, 239)"
Treg_df_TILmodel,Treg_df,87.690743%,96.413934%,92.036753%,"(1959, 239)"
all_TILmodel,CD8_EffectorMemory_df,87.072808%,95.535714%,91.301115%,"(1345, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_EffectorMemory_df,85.438336%,94.345238%,89.888476%,"(1345, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_EarlyActiv_df,79.310345%,97.228637%,88.248848%,"(868, 239)"
Th1_df_TILmodel,Th1_df,82.942708%,93.394980%,88.131148%,"(1525, 239)"
CD4_NaiveLike_df_TILmodel,CD4_NaiveLike_df,91.044776%,80.303030%,85.714286%,"(133, 239)"
CD8_Tpex_df_TILmodel,Treg_df,79.247202%,91.393443%,85.298622%,"(1959, 239)"
CD8_EffectorMemory_df_TILmodel,all_TILs_df,77.065527%,92.566191%,84.812704%,"(9824, 239)"
all_TILmodel,CD8_Tpex_df,98.591549%,70.921986%,84.805654%,"(283, 239)"
Treg_df_TILmodel,CD8_Tpex_df,80.281690%,87.234043%,83.745583%,"(283, 239)"
CD8_NaiveLike_df_TILmodel,CD8_NaiveLike_df,71.944658%,94.899536%,83.391137%,"(2595, 239)"
CD8_EarlyActiv_df_TILmodel,all_TILs_df,81.298331%,84.541752%,82.919381%,"(9824, 239)"
CD8_Tex_df_TILmodel,Treg_df,67.955239%,96.823770%,82.337928%,"(1959, 239)"
CD8_EffectorMemory_df_TILmodel,Treg_df,91.149542%,72.643443%,81.929556%,"(1959, 239)"
all_TILmodel,CD8_EarlyActiv_df,65.287356%,98.383372%,81.797235%,"(868, 239)"
all_TILmodel,Treg_df,98.067141%,64.446721%,81.316998%,"(1959, 239)"
Th1_df_TILmodel,all_TILs_df,87.382987%,74.317719%,80.853013%,"(9824, 239)"
CD8_NaiveLike_df_TILmodel,all_TILs_df,88.196988%,73.258656%,80.730863%,"(9824, 239)"
Treg_df_TILmodel,all_TILs_df,60.256410%,97.820774%,79.030945%,"(9824, 239)"
all_TILmodel,Tfh_df,60.000000%,97.058824%,78.260870%,"(69, 239)"
CD8_Tpex_df_TILmodel,all_TILs_df,58.547009%,97.454175%,77.992671%,"(9824, 239)"
CD8_EarlyActiv_df_TILmodel,Treg_df,93.896236%,61.782787%,77.896886%,"(1959, 239)"
CD8_Tex_df_TILmodel,CD8_Tpex_df,58.450704%,97.163121%,77.738516%,"(283, 239)"
all_TILmodel,Th1_df,54.947917%,98.943197%,76.786885%,"(1525, 239)"
CD8_Tpex_df_TILmodel,CD8_Tex_df,87.332054%,63.391137%,75.384615%,"(1040, 239)"
CD8_EarlyActiv_df_TILmodel,CD8_EffectorMemory_df,79.346211%,71.279762%,75.315985%,"(1345, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_Tpex_df,90.140845%,60.283688%,75.265018%,"(283, 239)"
Tfh_df_TILmodel,all_TILs_df,83.719984%,65.458248%,74.592834%,"(9824, 239)"
Treg_df_TILmodel,CD8_Tex_df,88.099808%,60.308285%,74.230769%,"(1040, 239)"
CD8_NaiveLike_df_TILmodel,CD8_EarlyActiv_df,79.080460%,69.284065%,74.193548%,"(868, 239)"
Th1_df_TILmodel,CD8_EarlyActiv_df,77.701149%,70.207852%,73.963134%,"(868, 239)"
CD8_EffectorMemory_df_TILmodel,CD8_EarlyActiv_df,53.333333%,93.533487%,73.387097%,"(868, 239)"
all_TILmodel,CD8_NaiveLike_df,46.656418%,99.304482%,72.909441%,"(2595, 239)"
CD8_NaiveLike_df_TILmodel,Treg_df,96.846389%,48.770492%,72.894334%,"(1959, 239)"
Th1_df_TILmodel,Treg_df,96.642930%,48.872951%,72.843287%,"(1959, 239)"
