,Mouse
0,Ahsa1
1,Api5
2,Atp6v1e1
3,Bcap31
4,Cops6
5,Csnk2b
6,Eif3i
7,Eif4g2
8,Gdi2
9,Hnrnpf
10,Hnrnph1
11,Hnrnph2
12,Ilf2
13,Dnajc5
14,Ncl
15,Otub1
16,Pdap1
17,Polr2f
18,Rhoa
19,Srp14
20,Srrm1
21,Timm44
22,Ttc1
23,Ywhab
24,Alg1
25,Alg2
26,Pdcd6
27,Alg3
28,Alg5
29,Alg6
30,Alg8
31,Alg9
32,Alg10b
33,Alg10b
34,Uggt1
35,Uggt2
36,Alg11
37,Alg12
38,Alg13
39,Glt28d2
40,Alg14
41,Dpagt1
42,Dpm1
43,Dpm2
44,Stt3a
45,Stt3b
46,Ugcg
47,Piga
48,Ugt8a
49,Poglut1
50,Pofut1
51,Pofut2
52,Ogt
53,Eogt
54,Colgalt1
55,Plod3
56,Colgalt2
57,Pomt1
58,Pomk
59,Pomt2
60,Sptlc2
61,Dpy19l1
62,Dpy19l2
63,Dpy19l3
64,Poglut2
65,Poglut3
66,Dpy19l4
67,Tmem260
68,Tmtc1
69,Tmtc2
70,Tmtc3
71,Tmtc4
72,Pgap4
73,Pigv
74,Pigm
75,Pigl
76,Pigb
77,Ncbp2
78,Pigz
79,Mgat1
80,Mogat1
81,C1galt1
82,C1galt1c1
83,B3gnt6
84,B4gat1
85,Gcnt1
86,B4galt6
87,B4galt7
88,Xxylt1
89,B3glct
90,Pomgnt2
91,Pomgnt1
92,Gxylt1
93,Gxylt2
94,Mfng
95,Lfng
96,Rfng
97,B4galt5
98,B3galt6
99,B3gnt2
100,B3gat3
101,Mgat5b
102,B3galnt2
103,A4galt
104,B4galnt1
105,B3gnt5
106,B3galnt1
107,Fkrp
108,Fktn
109,B4gat1
110,Pgap6
111,Rxylt1
112,Fut8
113,Mgat4d
114,B3galt4
115,Gcnt4
116,Mgat2
117,Mogat2
118,Ext1
119,Chpf
120,Gcnt3
121,Mgat3
122,Mgat5
123,Large2
124,Large1
125,Chpf2
126,Chsy1
127,Chsy3
128,Csgalnact1
129,Csgalnact2
130,Ext2
131,Extl1
132,Extl2
133,Extl3
134,B3galt1
135,B3galt2
136,B3galt5
137,B3gnt2
138,B3gnt3
139,B3gnt4
140,B3gnt7
141,B3gnt8
142,B3gntl1
143,B3gnt9
144,B4galnt3
145,B4galnt4
146,B4galt1
147,B4galt2
148,B4galt3
149,B4galt4
150,Gcnt2
151,Gcnt2
152,Gcnt7
153,B4galnt2
154,B3gat1
155,B3gat2
156,A4gnt
157,St3gal1
158,St3gal2
159,St3gal3
160,St3gal4
161,St3gal6
162,St6gal1
163,St6gal2
164,St6galnac1
165,St6galnac2
166,St6galnac2
167,St6galnac3
168,St6galnac4
169,St6galnac5
170,St6galnac6
171,St8sia1
172,St8sia2
173,St8sia3
174,St8sia4
175,St8sia5
176,St8sia6
177,Abo
178,Fut1
179,Fut2
180,Sec1
181,Sec1
182,Fut4
183,
184,
185,Fut7
186,Fut9
187,Fut10
188,Fut11
189,St3gal5
190,Chst10
191,Chst1
192,Chst2
193,Chst3
194,Chst4
195,Chst5
196,Chst5
197,Chst7
198,Chst8
199,Chst9
200,Gal3st1
201,Gal3st2
202,Gal3st2b
203,Gal3st2c
204,Gal3st3
205,Gal3st3
206,Gal3st4
207,Chst11
208,Chst12
209,Chst13
210,Chst14
211,Chst15
212,Hs2st1
213,Hs3st1
214,Hs3st2
215,Hs3st3a1
216,Hs3st3b1
217,Hs3st4
218,Hs3st5
219,Hs3st6
220,Hs3st6
221,Hs6st1
222,Hs6st2
223,Hs6st3
224,Ndst1
225,Ndst2
226,Ndst3
227,Ndst4
228,Ndst4
229,Ust
230,Mgat4c
231,Mgat4b
232,Mgat4a
233,Xylt1
234,Xylt2
235,Galnt1
236,Galnt2
237,Galnt3
238,Galnt4
239,Galnt5
240,Galnt6
241,Galnt7
242,Galnt15
243,
244,Galnt9
245,Galnt10
246,Galnt10
247,Galnt11
248,Galntl5
249,Galnt12
250,Galnt14
251,Galnt15
252,Galnt18
253,Galntl5
254,Galnt16
255,Galnt17
256,Galntl6
257,Galnt18
258,Galnt17
259,Galntl6
260,Galntl5
261,Galnt13
262,Galnt15
263,Galnt14
264,Dse
265,Dsel
266,Glce
